A,B,C,D,E,F,H,G,I,J
1,1,5.01,2.57,65.00,20.00,5.00,10.00,501,3
1,2,5.30,2.72,55.00,19.60,10.40,15.00,530,3
1,3,5.88,3.05,48.80,18.50,15.60,17.10,588,10
1,4,6.64,3.88,51.70,14.90,23.30,10.10,664,96
1,5,7.13,4.90,49.40,14.20,25.00,11.40,713,247
1,6,7.64,6.06,46.00,12.00,30.00,11.40,764,424
1,7,8.18,7.36,42.90,10.20,35.40,11.50,818,625
1,8,8.75,8.84,38.53,8.37,46.63,6.47,875,858
1,9,9.41,10.55,33.44,6.27,53.84,6.45,941,1127
1,10,10.22,12.73,31.07,0.00,62.83,6.10,1022,1473
2,1,5.12,2.72,54.20,20.00,10.00,15.80,512,21
2,2,5.39,2.87,54.30,19.30,11.40,15.00,539,24
2,3,6.03,3.28,49.30,17.80,22.60,10.30,603,40
2,4,6.80,4.2,51.00,14.20,24.70,10.10,680,143
2,5,7.30,5.27,48.60,13.40,26.60,11.40,730,303
2,6,7.81,6.48,45.50,11.40,31.70,11.40,781,489
2,7,8.36,7.83,41.50,9.63,37.41,11.46,836,699
2,8,8.96,9.38,36.92,7.71,48.90,6.47,896,942
2,9,9.65,11.21,31.70,5.40,56.50,6.40,965,1232
2,10,10.60,13.7,27.66,0.00,66.24,6.10,1060,1625
3,1,5.23,2.78,54.60,19.90,10.40,15.10,523,22
3,2,5.53,2.95,54.40,18.90,11.70,15.00,553,25
3,3,6.48,3.57,52.20,15.60,22.10,10.10,684,52
3,4,6.96,4.54,50.21,13.41,26.18,10.20,696,194
3,5,7.47,5.66,47.60,12.70,28.30,11.40,747,362
3,6,7.99,6.91,44.10,10.80,33.60,11.50,799,555
3,7,8.56,8.32,40.05,9.01,39.47,11.47,856,775
3,8,9.18,9.95,35.22,7.02,51.30,6.46,918,1032
3,9,9.92,11.92,29.10,5.10,59.30,6.50,992,1344
3,10,11.23,15.28,21.60,0.00,72.30,6.10,1123,1872
